danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.783,0.504,-5.349,0.124,0.202,0.0,0.854,0.334,126.009,2JIY6nN5kkkfNz0TckPqYu,242150
0.681,0.626,-5.41,0.0365,0.00887,5.56e-06,0.0791,0.676,128.036,7rS4oy2qpJNULQAVgJQTun,182085
0.657,0.66,-8.457,0.0538,0.133,0.00586,0.137,0.419,118.984,2x8zUjRP6z5N2GmZ13zU76,177500
0.62,0.409,-10.146,0.0282,0.77,0.0542,0.105,0.582,113.946,3iBgrkexCzVuPy4O9vx7Mf,135067
0.546,0.787,-4.023,0.212,0.396,0.0,0.0619,0.497,100.559,12cZWGf5ZgLcKubEW9mx5q,264473
0.731,0.423,-10.147,0.0784,0.473,0.000413,0.129,0.78,76.964,0wOtc2nY3NOohp4xSwOyTN,90111
0.667,0.581,-5.89,0.0375,0.227,0.0,0.112,0.407,122.016,65gLItuJFVkdt3k4ibQMAz,170907
0.562,0.403,-5.441,0.0361,0.78,0.0,0.094,0.548,82.518,74d3yEyNl807mtzttoKTbK,200173
0.548,0.456,-5.979,0.0703,0.813,0.00464,0.122,0.53,173.839,31Wlc9ZnraX3JxrvMg9e8H,209188
0.481,0.66,-10.189,0.0761,0.35,0.0,0.108,0.504,111.832,0GfCR4T6WOErZOw1557ln7,159100
0.695,0.526,-7.486,0.043,0.0635,0.0,0.215,0.534,121.939,0XdwIG7p28SeTam3DVdMX6,283314
0.518,0.49,-7.437,0.0281,0.404,0.0377,0.112,0.248,79.992,5UhZyWfrSEhGYfIIFNYscF,210203
0.331,0.935,0.719,0.0866,0.0518,0.0,0.298,0.565,77.461,48ElaQLYuOaybqagIlPxpU,187944
0.644,0.834,-7.497,0.0358,0.00161,0.0412,0.0875,0.744,94.922,2XynYulas10Wmef4Gqrxw9,137221
0.533,0.716,-9.718,0.0573,0.00243,0.227,0.391,0.38,120.058,4IPATLSUoEdsmqwxwNjr4g,210773
0.667,0.956,-5.563,0.287,0.00385,0.0184,0.303,0.17,129.991,76YXmewvHFse7tBeOTtSx3,279692
0.543,0.386,-13.212,0.258,0.203,0.000195,0.492,0.6,95.086,6PoD6ZYOAMkCJAbpAgpT1T,123158
0.565,0.402,-9.982,0.0341,0.517,8.43e-06,0.115,0.538,164.03,11pocbaq7T3ouJd4oa64Xn,189723
0.661,0.707,-7.19,0.0285,0.628,1.85e-06,0.0852,0.385,105.917,2hNQDbZcN3vqRAuwiz7poI,172853
0.528,0.43,-6.1,0.0322,0.334,4.09e-06,0.138,0.304,106.436,7iinMLIDWw5QA7d6x0d5HJ,225446
0.899,0.711,-4.388,0.139,0.0135,0.0,0.204,0.126,127.018,7itIhLBlKcpdaSqXRsSuW3,137931
